=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.06.05 11:18:20 =~=~=~=~=~=~=~=~=~=~=~=
0, 10
273046,
272921, 1133.00, 19.43
272947, 1129.00, 19.36
272971, 1133.00, 19.43
272996, 1133.00, 19.43
273021, 1134.00, 19.45
273046, 272921, 1133.00, 19.43
272947, 1129.00, 19.36
272971, 1133.00, 19.43
272996, 1133.00, 19.43
273021, 1134.00, 19.45
273046, 111, 1142.00, 19.59
4, 1134.00, 19.45
6, 1158.00, 19.86
9, 1158.00, 19.86
14, 1134.00, 19.45
34, 1134.00, 19.45
56, 1128.00, 19.35
76, 1134.00, 19.45
97, 1134.00, 19.45
118, 1127.00, 19.33
140, 1133.00, 19.43
161, 1136.00, 19.48
184, 1132.00, 19.41
205, 1133.00, 19.43
227, 1134.00, 19.45
248, 1134.00, 19.45
271, 1134.00, 19.45
292, 1133.00, 19.43
314, 1136.00, 19.48
336, 1133.00, 19.43
358, 1133.00, 19.43
379, 1134.00, 19.45
402, 1133.00, 19.43
423, 1133.00, 19.43
445, 1134.00, 19.45
467, 1133.00, 19.43
489, 1134.00, 19.45
510, 1133.00, 19.43
533, 1134.00, 19.45
555, 1133.00, 19.43
576, 1133.00, 19.43
599, 1133.00, 19.43
620, 1136.00, 19.48
642, 1136.00, 19.48
664, 1134.00, 19.45
686, 1136.00, 19.48
707, 1134.00, 19.45
730, 1134.00, 19.45
751, 1133.00, 19.43
773, 1134.00, 19.45
795, 1134.00, 19.45
817, 1134.00, 19.45
838, 1136.00, 19.48
861, 1134.00, 19.45
882, 1134.00, 19.45
904, 1136.00, 19.48
926, 1134.00, 19.45
948, 1133.00, 19.43
969, 1133.00, 19.43
992, 1134.00, 19.45
1013, 1136.00, 19.48
1036, 1133.00, 19.43
1059, 1133.00, 19.43
1082, 1136.00, 19.48
1104, 1133.00, 19.43
1128, 1134.00, 19.45
1150, 1134.00, 19.45
1173, 1134.00, 19.45
1197, 1134.00, 19.45
1219, 1133.00, 19.43
1242, 1134.00, 19.45
1265, 1133.00, 19.43
1288, 1133.00, 19.43
1310, 1134.00, 19.45
1334, 1134.00, 19.45
1356, 1134.00, 19.45
1379, 1134.00, 19.45
1402, 1134.00, 19.45
1425, 1134.00, 19.45
1448, 1129.00, 19.36
1471, 1134.00, 19.45
1494, 1134.00, 19.45
1517, 1130.00, 19.38
1540, 1136.00, 19.48
1562, 1134.00, 19.45
1586, 1128.00, 19.35
1608, 1133.00, 19.43
1631, 1133.00, 19.43
1654, 1127.00, 19.33
1677, 1133.00, 19.43
1699, 1133.00, 19.43
1723, 1133.00, 19.43
1745, 1134.00, 19.45
1768, 1134.00, 19.45
1792, 1134.00, 19.45
1814, 1134.00, 19.45
1837, 1133.00, 19.43
1860, 1134.00, 19.45
1883, 1134.00, 19.45
1905, 1133.00, 19.43
1929, 1134.00, 19.45
1951, 1134.00, 19.45
1974, 1134.00, 19.45
1997, 1134.00, 19.45
2020, 1134.00, 19.45
2042, 1133.00, 19.43
2066, 1134.00, 19.45
2088, 1134.00, 19.45
2111, 1134.00, 19.45
2135, 1133.00, 19.43
2157, 1134.00, 19.45
2181, 1131.00, 19.40
2203, 1134.00, 19.45
2226, 1134.00, 19.45
2249, 1128.00, 19.35
2272, 1134.00, 19.45
2294, 1134.00, 19.45
2318, 1128.00, 19.35
2340, 1134.00, 19.45
2363, 1133.00, 19.43
2386, 1128.00, 19.35
2409, 1134.00, 19.45
2432, 1133.00, 19.43
2455, 1134.00, 19.45
2478, 1136.00, 19.48
2500, 1134.00, 19.45
2524, 1134.00, 19.45
2546, 1134.00, 19.45
2569, 1134.00, 19.45
2592, 1134.00, 19.45
2615, 1133.00, 19.43
2637, 1133.00, 19.43
2661, 1134.00, 19.45
2683, 1133.00, 19.43
2706, 1134.00, 19.45
2729, 1134.00, 19.45
2752, 1136.00, 19.48
2775, 1134.00, 19.45
2798, 1136.00, 19.48
2821, 1134.00, 19.45
2843, 1134.00, 19.45
2867, 1133.00, 19.43
2889, 1134.00, 19.45
2913, 1132.00, 19.41
2935, 1134.00, 19.45
2958, 1133.00, 19.43
2981, 1128.00, 19.35
3004, 1134.00, 19.45
3026, 1134.00, 19.45
3050, 1130.00, 19.38
3073, 1134.00, 19.45
3095, 1134.00, 19.45
3119, 1128.00, 19.35
3141, 1133.00, 19.43
3164, 1133.00, 19.43
3187, 1134.00, 19.45
3210, 1134.00, 19.45
3232, 1133.00, 19.43
3256, 1134.00, 19.45
3278, 1134.00, 19.45
3301, 1133.00, 19.43
3324, 1134.00, 19.45
3347, 1134.00, 19.45
3369, 1134.00, 19.45
3393, 1134.00, 19.45
3416, 1133.00, 19.43
3438, 1136.00, 19.48
3462, 1136.00, 19.48
3484, 1136.00, 19.48
3507, 1133.00, 19.43
3530, 1136.00, 19.48
3553, 1133.00, 19.43
3575, 1133.00, 19.43
3599, 1133.00, 19.43
3621, 1134.00, 19.45
3645, 1130.00, 19.38
3667, 1133.00, 19.43
3690, 1134.00, 19.45
3714, 1130.00, 19.38
3736, 1134.00, 19.45
3759, 1134.00, 19.45
